molecule_chembl_id,canonical_smiles,type,standard_value,value
CHEMBL1079604,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,Inhibition,29.96,29.96
CHEMBL2165224,CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@@H](O)C2,Inhibition,21.72,21.72
CHEMBL1230488,CC1=N[C@H](C(=O)O)[C@@H](O)CN1,Inhibition,24.9,24.9
CHEMBL1683,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Inhibition,38.63,38.63
CHEMBL1885632,CC(=O)Nc1ccc(CC(=O)O)cc1,Inhibition,22.96,22.96
CHEMBL227744,N=C(NCCC[C@H](N)C(=O)O)N[N+](=O)[O-],Inhibition,23.98,23.98
CHEMBL1021,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,Inhibition,8.62,8.62
CHEMBL243712,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,Inhibition,26.31,26.31
CHEMBL422648,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,Inhibition,14.67,14.67
CHEMBL398435,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,Inhibition,34.26,34.26
CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,Inhibition,21.09,21.09
CHEMBL1236602,O=C(O)/C=C/c1c[nH]cn1,Inhibition,26.67,26.67
CHEMBL397976,O=C1CC[C@@H](C(=O)O)N1,Inhibition,18.63,18.63
CHEMBL165084,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)O)C[C@@H]1O,Inhibition,41.21,41.21
CHEMBL20883,O=c1[nH]c(=O)n(C2CCCO2)cc1F,Inhibition,21.54,21.54
CHEMBL36633,NC(=O)CN1CC(O)CC1=O,Inhibition,17.71,17.71
CHEMBL445740,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,Inhibition,9.89,9.89
CHEMBL240163,C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Inhibition,19.68,19.68
CHEMBL4303401,OCc1cncc(F)c1,Inhibition,28.37,28.37
CHEMBL1875805,CC(=O)NC(CC(C)C)C(=O)O,Inhibition,22.48,22.48
CHEMBL1436,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,Inhibition,3.14,3.14
CHEMBL4565475,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,Inhibition,7.93,7.93
CHEMBL58752,O=[N+]([O-])c1nccn1CC(O)CN1CCCCC1,Inhibition,41.54,41.54
CHEMBL267777,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Inhibition,25,25
CHEMBL10878,COc1ccc2cccc(CCNC(C)=O)c2c1,Inhibition,21.04,21.04
CHEMBL1773,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,Inhibition,-6.93,-6.93
CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,Inhibition,28.52,28.52
CHEMBL4522182,Clc1ccc(CONC(=Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Inhibition,18.2,18.2
CHEMBL1201284,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,Inhibition,18.38,18.38
CHEMBL1541,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,Inhibition,-61.64,-61.64
CHEMBL15511,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Inhibition,37.52,37.52
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Inhibition,93.65,93.65
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,Inhibition,20.76,20.76
CHEMBL25146,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,Inhibition,20.37,20.37
CHEMBL292008,C=CCn1c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,Inhibition,27.55,27.55
CHEMBL274070,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,Inhibition,1.64,1.64
CHEMBL513172,Cn1cc(CC(N)C(=O)O)c2ccccc21,Inhibition,21.31,21.31
CHEMBL1519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,Inhibition,17.42,17.42
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Inhibition,35.62,35.62
CHEMBL149082,NCCCS(=O)(=O)O,Inhibition,42.11,42.11
CHEMBL442218,O=C1N[C@H](C(=O)O)CS1,Inhibition,19.71,19.71
CHEMBL1235017,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,Inhibition,24.21,24.21
CHEMBL251254,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,46.57,46.57
CHEMBL336296,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Inhibition,33.55,33.55
CHEMBL1231530,O=C(O)CCNC(=O)c1ccccc1,Inhibition,27.54,27.54
CHEMBL2111092,O=S(=O)(O)CCCS(=O)(=O)O,Inhibition,0.38,0.38
CHEMBL2107455,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,Inhibition,-8.67,-8.67
